Elephas maximus,Yes,No,Yes,No,No,No,Yes
Castor canadensis,Yes,No,Yes,No,No,No,No,No,No,No
Canis dingo,Yes,No,Yes,No,No,No,No,No,Yes
Siliqua patula,No,Yes,Yes
Galeocerdo cuvier,Yes,No,No,Yes,Yes
Cardinalis cardinalis,Yes,Yes
Ursus maritimus,Yes,No,Yes,No,No,No,No,Yes,No,No
Leptogorgia virgulata,No,No,No,No,Yes
Gorilla gorilla,Yes,No,Yes,No,No,No,No,No,No,Yes
Papio papio,Yes,No,Yes,No,No,No,No,No,No,Yes
Haliotis asinina,No,Yes,No
Pollicipes pollicipes,No,No,No,Yes
Dermochelys coriacea,Yes,No,No,Yes,No
Giraffa camelopardalis,Yes,No,Yes,Yes,Yes
Panthera onca,Yes,No,Yes,No,No,No,No,No,Yes
Falco peregrinus,Yes,Yes
Lumbricus terrestris,No,No,No,No,No,Yes
Crotalus adamanteus,Yes,No,No,Yes,No
Crocuta crocuta,Yes,No,Yes,No,No,No,No,No,Yes
Lasiurus cinereus,Yes,No,Yes,No,Yes
Salmo salar,Yes,No,No,Yes,Yes
Chlamys islandica,No,Yes,Yes
Canis latrans,Yes,No,Yes,No,No,No,No,No,Yes
Apteryx haastii,Yes,Yes
Montipora capricornis,No,No,No,No,Yes
Meleagris gallopavo,Yes,Yes
Gulo gulo,Yes,No,Yes,No,No,No,No,No,Yes
Inia geoffrensis,Yes,No,Yes,No,No,No,No,Yes,Yes,No
Fromia monilis,No,No,No,No,No,No
Diceros bicornis,Yes,No,Yes,Yes,No
Trichechus manatus,Yes,No,Yes,No,No,No,No,Yes,No,Yes
Mirounga angustirostris,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes
Pelophylax lessonae,Yes,No,No,No
Octopus vulgaris,No,No,Yes 
